trial,bet,block,sampleFrequency,reportedFrequency,reactionTime,error, errorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,cummulativeScore,stimulusDuration,timeBtwTriggerAndStim
35,1,3.0,603.8494518899245,541.4925373134329,8175,62.35691457649159,1.8869694618516548,74.48022463905309,72.59325517720143,587.3295358348151,74.0,0.0,250,0
35,2,3.0,603.8494518899245,437.6119402985074,834,166.23751159141705,5.574441690588184,74.48022463905309,68.9057829484649,587.3295358348151,74.0,0.0,250,0
35,3,3.0,603.8494518899245,337.3134328358209,718,266.5360190541036,10.081189660563325,74.48022463905309,64.39903497848977,587.3295358348151,74.0,0.0,250,0
35,4,3.0,603.8494518899245,258.5074626865672,702,345.3419892033573,14.687795771473223,74.48022463905309,59.792428867579865,587.3295358348151,74.0,0.0,250,0
35,5,3.0,603.8494518899245,200.0,735,403.84945188992447,19.130266924052307,74.48022463905309,55.349957715000784,587.3295358348151,74.0,0.0,250,0
35,6,3.0,603.8494518899245,297.910447761194,1249,305.93900412873046,12.231722284146802,74.48022463905309,62.248502354906286,587.3295358348151,74.0,0.0,250,0
36,1,3.0,578.2734983133995,422.08955223880594,3409,156.18394607459356,5.450434403099287,73.73098155167123,68.28054714857196,587.3295358348151,74.0,0.0,250,1
36,2,3.0,578.2734983133995,344.4776119402985,785,233.79588637310098,8.96810115706628,73.73098155167123,64.76288039460495,587.3295358348151,74.0,0.0,250,1
36,3,3.0,578.2734983133995,529.5522388059701,956,48.72125950742941,1.5237477291993042,73.73098155167123,72.20723382247193,587.3295358348151,74.0,2.0,250,1
36,4,3.0,578.2734983133995,472.2388059701492,717,106.0346923432503,3.50682464713857,73.73098155167123,70.22415690453266,587.3295358348151,74.0,2.0,250,1
36,5,3.0,578.2734983133995,351.64179104477614,830,226.63170726862336,8.61174537484654,73.73098155167123,65.1192361768247,587.3295358348151,74.0,2.0,250,1
36,6,3.0,578.2734983133995,262.08955223880594,840,316.18394607459356,13.700305706387777,73.73098155167123,60.03067584528346,587.3295358348151,74.0,2.0,250,1
37,1,3.0,713.6357419254772,893.7313432835821,2158,-180.0956013581049,-3.8958401678039416,77.37221219575622,81.26805236356017,698.4564628660078,77.0,0.0,250,0
37,2,3.0,713.6357419254772,948.6567164179104,898,-235.0209744924332,-4.928379007285169,77.37221219575622,82.30059120304139,698.4564628660078,77.0,0.0,250,0
37,3,3.0,713.6357419254772,855.5223880597015,1029,-141.8866461342243,-3.139412826248689,77.37221219575622,80.5116250220049,698.4564628660078,77.0,0.0,250,0
37,4,3.0,713.6357419254772,921.1940298507462,886,-207.55828792526904,-4.419806253951761,77.37221219575622,81.79201844970798,698.4564628660078,77.0,0.0,250,0
37,5,3.0,713.6357419254772,855.5223880597015,751,-141.8866461342243,-3.139412826248689,77.37221219575622,80.5116250220049,698.4564628660078,77.0,0.0,250,0
37,6,3.0,713.6357419254772,885.3731343283581,734,-171.73739240288091,-3.733172684558506,77.37221219575622,81.10538488031473,698.4564628660078,77.0,0.0,250,0
38,1,3.0,703.3510748958049,567.7611940298507,3529,135.58988086595423,3.7075288687664076,77.12089752995233,73.41336866118593,698.4564628660078,77.0,0.0,250,1
38,2,3.0,703.3510748958049,530.7462686567164,968,172.60480623908848,4.874671933135928,77.12089752995233,72.2462255968164,698.4564628660078,77.0,0.0,250,1
38,3,3.0,703.3510748958049,633.4328358208954,1201,69.91823907490948,1.8126399481159905,77.12089752995233,75.30825758183634,698.4564628660078,77.0,0.0,250,1
38,4,3.0,703.3510748958049,465.07462686567163,1283,238.27644803013328,7.1613930223531375,77.12089752995233,69.95950450759919,698.4564628660078,77.0,0.0,250,1
38,5,3.0,703.3510748958049,706.2686567164178,1160,-2.917581820612895,-0.0716650609842924,77.12089752995233,77.19256259093662,698.4564628660078,77.0,52.0,250,1
38,6,3.0,703.3510748958049,395.820895522388,1254,307.5301793734169,9.952766517742116,77.12089752995233,67.16813101221021,698.4564628660078,77.0,52.0,250,1
39,1,3.0,581.4649355987762,958.2089552238805,2177,-376.74401962510433,-8.647777223747665,73.82626405122748,82.47404127497515,587.3295358348151,74.0,0.0,250,1
